;index;cluster
230;2019-11-01 03:52:30+00:00;8.0
231;2019-11-01 03:55:00+00:00;8.0
232;2019-11-01 03:57:30+00:00;12.0
233;2019-11-01 04:00:00+00:00;16.0
234;2019-11-01 04:02:30+00:00;16.0
235;2019-11-01 04:05:00+00:00;19.0
236;2019-11-01 04:07:30+00:00;9.0
237;2019-11-01 04:10:00+00:00;9.0
238;2019-11-01 04:12:30+00:00;12.0
239;2019-11-01 04:15:00+00:00;1.0
240;2019-11-01 04:17:30+00:00;1.0
241;2019-11-01 04:20:00+00:00;1.0
242;2019-11-01 04:22:30+00:00;1.0
243;2019-11-01 04:25:00+00:00;1.0
244;2019-11-01 04:27:30+00:00;19.0
245;2019-11-01 04:30:00+00:00;19.0
246;2019-11-01 04:32:30+00:00;1.0
247;2019-11-01 04:35:00+00:00;1.0
248;2019-11-01 04:37:30+00:00;1.0
249;2019-11-01 04:40:00+00:00;12.0
250;2019-11-01 04:42:30+00:00;12.0
251;2019-11-01 04:45:00+00:00;12.0
252;2019-11-01 04:47:30+00:00;1.0
253;2019-11-01 04:50:00+00:00;1.0
254;2019-11-01 04:52:30+00:00;1.0
255;2019-11-01 05:02:30+00:00;4.0
256;2019-11-01 05:05:00+00:00;19.0
257;2019-11-01 05:07:30+00:00;1.0
258;2019-11-01 05:10:00+00:00;9.0
259;2019-11-01 05:12:30+00:00;9.0
260;2019-11-01 05:15:00+00:00;19.0
261;2019-11-01 05:17:30+00:00;9.0
262;2019-11-01 05:20:00+00:00;8.0
263;2019-11-01 12:30:00+00:00;0.0
264;2019-11-01 12:32:30+00:00;6.0
